node	conc_max	start_utc	candidate	episodes	median_s_per_episode	img	kind
bjxy	2	09-08 13:12	bjxy-c4fix8k-plastic_cylinder_100ml-s3554	50	39	224	grasp
bjxy	3	09-06 01:45	bjxy-rlb16k-brown_volumetric_flask_250ml-s3951	50	29	224	grasp
bjxy	3	09-07 03:54	bjxy-rlb16k-clear_reagent_bottle_large-s3951	50	23	224	grasp
bjxy	3	09-07 04:16	bjxy-rlb16k-brown_reagent_bottle_large-s3951	50	25	224	grasp
bjxy	4	09-06 01:24	bjxy-rlb16k-clear_volumetric_flask_250ml-s3951	50	31	224	grasp
bjxy	4	09-06 01:53	bjxy-rlb8k-alcohol_lamp_last-s3951	50	23	224	grasp
bjxy	4	09-06 09:47	bjxy-rlb16k-brown_volumetric_flask_250ml-s3952	50	50	224	grasp
bjxy	4	09-06 11:48	bjxy-rlb8k-glass_beaker_250ml-s3955	50	102	224	grasp
bjxy	4	09-06 14:02	bjxy-rlb8k-erlenmeyer_flask-s3955	26	45	224	grasp
bjxy	4	09-06 14:26	bjxy-rlb8k-clear_reagent_bottle_large-s3955	50	40	224	grasp
bjxy	4	09-06 15:05	bjxy-rlb8k-clear_volumetric_flask_250ml-s3955	50	51	224	grasp
bjxy	4	09-06 15:51	bjxy-rlb8k-plastic_cylinder_100ml-s3955	50	48	224	grasp
bjxy	4	09-06 16:32	bjxy-rlb8k-plastic_cylinder_100ml-s3954	50	40	224	grasp
bjxy	4	09-06 17:11	bjxy-rlb24k-glass_beaker_250ml-s3953	50	101	224	grasp
bjxy	4	09-06 18:47	bjxy-rlb8k-clear_reagent_bottle_large-s3954	50	37	224	grasp
bjxy	4	09-06 19:26	bjxy-rlb16k-glass_cylinder_100ml-s3953	50	47	224	grasp
bjxy	4	09-06 20:15	bjxy-rlb16k-glass_cylinder_100ml-s3952	50	50	224	grasp
bjxy	4	09-06 22:22	bjxy-rlb24k-erlenmeyer_flask-s3952	50	55	224	grasp
bjxy	4	09-06 23:44	bjxy-rlb24k-clear_reagent_bottle_small-s3952	50	49	224	grasp
bjxy	4	09-07 00:45	bjxy-rlb16k-glass_cylinder_100ml-s3951	50	24	224	grasp
bjxy	4	09-07 01:14	bjxy-rlb8k-brown_volumetric_flask_250ml-s3954	50	29	224	grasp
bjxy	4	09-07 01:41	bjxy-rlb8k-brown_reagent_bottle_large-s3954	50	24	224	grasp
bjxy	4	09-07 02:05	bjxy-rlb8k-alcohol_lamp-s3954	50	22	224	grasp
bjxy	4	09-07 02:27	bjxy-rlb16k-erlenmeyer_flask-s3951	50	30	224	grasp
bjxy	4	09-07 02:59	bjxy-rlb8k-clear_reagent_bottle_small-s3954	50	29	224	grasp
bjxy	4	09-07 03:31	bjxy-rlb16k-clear_reagent_bottle_large-s3953	50	23	224	grasp
